summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
1xuqwYxgL5Kd4Urf1ueAghpVvylKptSIneDDyPbHT9S0y_M,TH Jerkz,1067,I,230,171,True,False,False,False
TgYYXkBgnOHYMKmIFRKlvEGQwmIu-ZuVaOTFkjrPIX2Fjl2e9VDTFJLj7A,2023 SOLDIER,933,I,253,213,False,False,False,False
6qpaSok_vgbM9IaDBwABCmz-gW30yg6jmMz87IIyDvdM_cQ,ZWYROO,1041,I,215,167,True,False,False,False
hWRFXxblYaMwkEbF77Bdi_S-VD-FAtV5pppWQ0F5ZJ29ZPMcnJt6SKf4ZQ,Roi des Tacos 93,779,I,232,179,False,False,True,False
vmz4fmub4Eea63vXB0bXPdWNRrqPNynwdS74ENWGvBw8bxQ,KOLDO 2026,875,I,212,172,True,False,False,True
SkdZLf_kOsNwBnIGyuUhLmb5hm9eTbjsHd-oz-mbyp2WKIag,BERFKNGKAN,1017,I,133,84,False,False,False,False
PtgQGUfWXn1JN8Nq_HgxrHK6fGXAcErDf0OGAw1q8tglV8s,Legendary Bow,919,I,122,73,False,False,True,True
QRoEUdNzNp8SwJdYMQ6vGAu_ZVNerz9x6kkrVXGDbsWDAnE,VΣTHΣΘ,1150,I,275,212,True,False,False,False
8zvvmSE8T2ExGGVu2bYgsVBpn2gY69nOb3WldIIfhbJbdlg,DenSygeKamel69,1059,I,387,340,True,False,False,True
S6BVvOvMsmOWOvlDwFPg6XhX1ix2z2neIDgLNv_nvD05sNo,Bollito de Cacao,874,I,298,252,False,False,True,False
fPKhOEPw9_wjQm3_q1EBPNNLbxitvbiN3kEW5PTcquCTLVdS,15 02 2013,881,I,185,137,False,False,False,False
vCckDc7g1dhjbFxwcECg68mvYWbgRbKeiB9wFPAlF4tyYPGF,Skillshot Lander,978,I,331,277,True,False,False,False
Z7UT9KgWrOom2gZJuXOPjwjtawjNoI6vALxB7N9PBObNBqloXupAtqHioA,CR7 secret acc,911,I,394,340,False,False,True,False
UHql5Hd39qa-G_pVCfbmHdg95LdjZNw8VuEU_I8-r7oQj8jI6FSnccnDSA,NZLWTXPTQD,1032,I,253,205,True,False,False,False
r4w64s_B3qWRv2pEVkfkrIt549eWoM3Jo9hZd2aUupYaUDeNtaTlSfNsVQ,is it just me,1066,I,148,97,False,False,False,True
c_Ml-nqL6k8q2Oc7qMSrDs_RxNTFxRLPg8QdFJTdHVsqR_y6iuPfKWVBkg,Chowlee,966,I,139,90,True,False,False,False
ybU4STzpTVF1mIahds73S-GuuxnLh8izkoZcSQ0KrNOh8N4,Kaori3,988,I,239,185,True,False,False,False
2DlafCzuWbZ1q8cGwH_hwEmumTOvQKE21MyKAEKDf912SnQ,Inferior AD,905,I,134,99,True,False,False,True
7qSKatX6oU0YwX0SlkxHD37mLWlLrs1gWn7vqHyhM0Z1N6pbx6xbEU1vsQ,al Asad,1028,I,106,58,False,False,False,False
lmhYnZ-3O7ntmUO8wenl4c_M10_usQLbPiXHWb8AmcGeLAX9GJ3nPAd9CQ,,864,I,266,216,True,False,False,False
